% Device,CC1942004
% File name,CC1942004_20211028_025400
% Cast time (UTC),2021-10-28 02:54:00
% Cast time (local),2021-10-27 23:54:00
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),95.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14954554564113429,21.573165415286471,49037.1484375,52645.28189166716,34.613955003654439,1525.3141921530842,1024.0452051748434
0.44999999999999996,0.44862845735258994,21.494842927645262,49012.335532627672,52707.281546149214,34.657279293974035,1525.1588983592724,1024.10105053812
0.74999999999999989,0.74767216018420424,21.391103910385169,49209.654625882911,53037.813802558361,34.8981067486722,1525.1539577080037,1024.3140735778545
1.05,1.046674478384015,21.371846773982664,49296.131334215679,53153.081841322863,34.982585072537667,1525.2011063901537,1024.3849393156984
1.35,1.3456636710139522,21.358276458742893,49306.151049708344,53179.448003841288,35.00154401351859,1525.1909047022543,1024.4043986665724
1.65,1.6446442328394144,21.329398227788591,49327.508397118356,53235.645490784169,35.042071953586657,1525.1637152891963,1024.4444731791302
1.9500000000000002,1.9436169485570651,21.306152124060095,49314.342332358945,53248.153938854091,35.050477289156476,1525.1159570276077,1024.4585570473334
2.25,2.2425864250781951,21.289947039458823,49302.391523987513,53253.886294102689,35.054094392781906,1525.0816767700133,1024.4670621107769
2.55,2.5415514078580319,21.253073162665686,49283.251163898451,53275.650453080212,35.068898456884916,1525.0044978426906,1024.4897447139924
2.85,2.8405067484822513,21.21779340160117,49301.13691337924,53335.66715851827,35.112027143746182,1524.9628855949609,1024.5335374410697
3.15,3.1394449944236982,21.170520426646558,49350.430221456445,53443.658166970388,35.1902385149884,1524.9279644745418,1024.6073090427196
3.4499999999999997,3.4383668724930421,21.139285294201319,49365.9455200116,53496.65172015116,35.228300177165224,1524.89143796952,1024.6461289479739
3.75,3.7372814632959641,21.101536970608436,49327.101226800223,53498.326160197452,35.228179266988768,1524.7950226443375,1024.6576574061867
4.05,4.0361908583898787,21.042670837869526,49278.341042103923,53513.773359964493,35.2375253810058,1524.6522392553022,1024.682140760317
4.35,4.3350929396928342,20.989349087092133,49240.343694740215,53534.508176547053,35.250948106021234,1524.5286674535223,1024.7081925578239
4.6499999999999995,4.6339894169339395,20.951589848768531,49203.582575213964,53538.4985994479,35.252502336585792,1524.4336735254944,1024.7209550352056
4.9499999999999993,4.9328789329508,20.893134562069889,49173.241244831341,53573.635483892642,35.276365324542169,1524.3075037308536,1024.7563150412486
5.2499999999999991,5.2317632337817548,20.840123909915537,49094.621816641047,53549.835416153335,35.256809205861863,1524.147562535293,1024.7571056155939
5.55,5.5306473181962863,20.769785224034681,48991.179359055757,53519.127432271031,35.23151916878065,1523.9340888182894,1024.7581892890769
5.85,5.8295293748429229,20.72237405551914,48941.179850254652,53519.946045263336,35.230330637423158,1523.8092500654586,1024.7714008721089
6.1499999999999995,6.1284084920568711,20.690329574300272,48904.180642875821,53516.992653061607,35.226892404284328,1523.7234690379257,1024.7787362699892
6.4499999999999993,6.4272832966147915,20.64290957304009,48869.5140107062,53534.617389479448,35.238102033772151,1523.6121266230875,1024.8013655774216
6.8834238952060911,6.8590925179309892,20.661223159061823,48773.227485866446,53407.710209562159,35.144819126154736,1523.5653027601768,1024.7272507601986
