% Device,CC1942004
% File name,CC1942004_20220428_130541
% Cast time (UTC),2022-04-28 13:05:41
% Cast time (local),2022-04-28 10:05:41
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-23.0707777
% Start longitude,-44.2390117
% Start altitude,-7.9840002059936523
% Start GPS horizontal error(Meter),9.6820001602172852
% Start GPS vertical error(Meter),15.75
% Start GPS number of satellites,6
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),280.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1500259176436694,26.145882176429307,51443.95703125,50291.396728472173,32.956957738089926,1534.9432617000477,1021.450210745187
0.44999999999999996,0.45007541039512944,26.104705481969457,51434.664438817177,50322.826395080323,32.979726871244587,1534.8759527475049,1021.4814262360593
0.74999999999999989,0.750117492644313,26.069438616089304,51403.639830190179,50327.202748999465,32.982627175479784,1534.8012209069227,1021.4958297231206
1.05,1.05015290411245,26.018029299496806,51378.64340577383,50353.418302537786,33.0014792318308,1534.7054436630583,1021.5272379641264
1.35,1.3501766991038657,25.969398497368712,51388.645000284923,50411.272759024076,33.043619866357616,1534.6409359246588,1021.5753223161923
1.65,1.650184936828121,25.918875496964265,51414.265654090872,50486.45040988399,33.098492091369891,1534.5854405725188,1021.6335749645615
1.9500000000000002,1.9501763907584397,25.892344871691716,51474.031532061963,50571.487383649517,33.160801774780062,1534.5944555221724,1021.6900238769415
2.25,2.2501495264174349,25.857785706846009,51543.584733099939,50674.232093201041,33.236103438775167,1534.5983690600629,1021.7587431663462
2.55,2.5500973624148857,25.794754874154318,51632.905943921513,50825.037025814716,33.346605759104541,1534.572532388283,1021.8627743896811
2.85,2.8500193058573395,25.741578975651386,51680.236584270126,50924.939297877536,33.419702780161835,1534.5298510117357,1021.9355573663659
3.15,3.1499268505967222,25.72512805406793,51699.152176828684,50960.100210809273,33.445391814231378,1534.5233953752484,1021.9612851157604
3.4499999999999997,3.44982729958598,25.702999884925017,51704.198170781834,50987.316616501121,33.465178320809883,1534.4971377152042,1021.9843060153245
3.75,3.7497196206018337,25.671602879235945,51712.448422610774,51027.050146662463,33.494112557218159,1534.4586438234212,1022.0170717787388
4.05,4.0495999887072855,25.635779983849311,51743.453922787,51093.766047734411,33.542901513796139,1534.4308504678559,1022.0661677401781
4.35,4.3494674023589583,25.584336310865808,51732.591485765734,51134.990847604808,33.572755313194548,1534.3455325059019,1022.1057663755787
4.6499999999999995,4.6493225819342863,25.537788203957412,51737.704715824286,51187.147829881593,33.610707766289273,1534.2804066840167,1022.1499594495805
4.9499999999999993,4.9491664132590616,25.500023790144454,51737.229189702557,51224.955264080047,33.638152981713482,1534.2248434983474,1022.1835247748118
5.2499999999999991,5.2490004012784484,25.456726016715713,51728.7234355287,51260.483506590965,33.663860088868887,1534.1541195160407,1022.2174627401658
5.55,5.5488210927492583,25.376677543340957,51704.615680609284,51318.0088505498,33.705428153885805,1534.0123945178586,1022.2745810526749
5.85,5.8486238519410865,25.301390097050042,51703.121958811338,51393.333125642086,33.760155119056364,1533.8958323490047,1022.3401411054671
6.1499999999999995,6.1484133873615257,25.27352424921019,51702.493062364287,51421.194191668932,33.78033544608062,1533.8556996088048,1022.3651571092901
6.4499999999999993,6.4481954663070891,25.247346029269867,51706.675475088086,51452.145795887547,33.802812066677618,1533.8220424699816,1022.3913886456871
6.7499999999999991,6.7479660897678819,25.193232056450636,51714.130822108847,51515.043665595906,33.848567931172653,1533.7462106866199,1022.4436863557278
7.0499999999999989,7.0477221998852961,25.1459037524028,51722.734748019284,51572.243072337616,33.890184917368856,1533.6821048621446,1022.490783107372
