% Device,CC1942004
% File name,CC1942004_20220426_163445
% Cast time (UTC),2022-04-26 16:34:45
% Cast time (local),2022-04-26 13:34:45
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9490879
% Start longitude,-43.7858498
% Start altitude,-3.5580000877380371
% Start GPS horizontal error(Meter),20.6299991607666
% Start GPS vertical error(Meter),19.107999801635742
% Start GPS number of satellites,5
% End latitude,-22.949191
% End longitude,-43.7856935
% End altitude,4.1750001907348633
% End GPS horizontal error(Meter),38.508998870849609
% End GPS vertical error(Meter),41.893001556396484
% End GPS number of satellites,5
% Cast duration (Seconds),60.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15084540367337029,26.809267393807247,41936.228260413627,40471.744120267431,25.858674811951058,1528.9613177959293,1015.9106926014591
0.44999999999999996,0.45226356571611354,26.676202943562235,45305.155474091574,43835.607971788537,28.262890459206169,1531.1997595983823,1017.7569159682792
0.74999999999999989,0.75327513506094024,26.56188795430721,46844.146317860213,45425.165928148584,29.408975549763404,1532.1526329467956,1018.6544059451279
1.05,1.054093473894864,26.544128888741046,47593.1195469487,46167.352686936785,29.946352301962897,1532.686683284446,1019.0650752375136
1.35,1.3548198910255327,26.498947488609279,47924.127875643731,46529.230414120364,30.208715805513911,1532.8646474133604,1019.2775926183969
1.65,1.6554789160214427,26.394771682741997,48225.28440446248,46916.52752361208,30.489651419440509,1532.92407432064,1019.5223602740443
1.9500000000000002,1.9560526074298426,26.296354871606979,48701.049214827573,47470.282573415439,30.892144898096785,1533.1261832215671,1019.8568253526678
2.25,2.2565313575310495,26.197838516106692,49128.25721942215,47978.8391886569,31.262360273204244,1533.2936974259899,1020.1671158208195
2.55,2.5569352378178176,26.081505417113487,49317.590153523393,48273.430619177547,31.476719923817793,1533.2529045318081,1020.3656212880222
2.85,2.8572810588629323,25.882461996301963,49374.859095441185,48518.543677219917,31.65452960904981,1532.9764529526067,1020.5619546399197
3.15,3.1575681436713459,25.644162475362119,49383.454184720962,48755.327140364418,31.825916828111225,1532.5972195614256,1020.7652167382978
3.4499999999999997,3.4578085439562463,25.504496475699408,49378.423913459723,48885.175934006678,31.919737343959458,1532.3684117199236,1020.8797361381903
3.75,3.7580075391824308,25.318359097564727,49398.843152132627,49086.301737652851,32.065273641880779,1532.0820006354056,1021.04720722919
4.05,4.058161105077513,25.186159371061649,49453.891559931209,49270.448446038412,32.1988171708749,1531.9112507798186,1021.1891738881686
4.3652271732316752,4.3735239103332324,25.177465213138188,49483.792803387543,49308.780937016112,32.226720868812208,1531.9254871744504,1021.2142095620989
