-44.6263	-23.26396667	8	35
-44.6263	-23.26396667	11	58
-44.6263	-23.26396667	14	07
-44.6263	-23.26396667	17	15
-44.6263	-23.26396667	20	27
-44.6263	-23.26396667	23	11
-44.6263	-23.26396667	2	22
-44.6263	-23.26396667	5	12
-44.6263	-23.26396667	8	01
-44.5731	-23.21155	10	14
-44.59743333	-23.22795	11	08
-44.61808333	-23.24703333	11	58
-44.64506667	-23.29785	15	51
-44.64608333	-23.28726667	16	24
-44.63461667	-23.27161667	17	15
-44.6263	-23.26396667	8	18
-44.6263	-23.26396667	11	01
-44.6263	-23.26396667	14	07
-44.6263	-23.26396667	17	14
-44.6263	-23.26396667	20	10
-44.6263	-23.26396667	23	17
-44.6263	-23.26396667	2	10
-44.6263	-23.26396667	5	16
-44.6263	-23.26396667	8	11
-44.57156667	-23.2121	8	59
-44.5977	-23.22916667	10	14
-44.61823333	-23.24743333	11	11
-44.64516667	-23.29776667	15	03
-44.64496667	-23.28546667	16	02
-44.63463333	-23.27086667	16	45
-44.37288333	-23.14991667	7	54
-44.46513333	-23.18896667	9	57
-44.58025	-23.17186667	11	48
-44.59771667	-23.09625	13	50
-44.50283333	-23.03608333	15	21
-44.4053	-23.02366667	16	45
-44.3454	-22.98836667	17	52
-43.98218333	-22.97016667	8	58
-43.90283333	-22.92916667	10	14
-43.8166	-22.96096667	11	49
-43.77445	-22.99035	12	58
-43.73223333	-23	14	00
-44.35648333	-23.09571667	9	05
-44.18118333	-23.05903333	11	32
-44.30048333	-23.06425	13	01
-44.27236667	-23	14	28
-44.30895	-23	15	27
-43.85158	-31.45346667	12	26
-43.79717333	-31.17546667	12	05
-43.79886833	-31.39963333	11	35
-43.74561833	-31.66091667	11	10
-43.68814167	-31.97983333	10	52
-43.619585	-23.27735	10	15
