% Device,CC1942004
% File name,CC1942004_20211104_055451
% Cast time (UTC),2021-11-04 05:54:51
% Cast time (local),2021-11-04 02:54:51
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),99
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14961517444199191,22.153770176784835,49097.765625,52061.3361783447,34.199240028517075,1526.3875945644454,1023.5686302808573
0.44999999999999996,0.44883680687612632,22.211585967454255,49281.627422650308,52192.302390162295,34.297198990366418,1526.6514458878071,1023.6280972542164
0.74999999999999989,0.74804026020566106,22.172090773074565,49330.815556525988,52288.137697601909,34.366782206435339,1526.6297631993584,1023.6933218771146
1.05,1.0472302187993081,22.141625699575698,49329.80880651249,52320.860889356736,34.390035263166851,1526.5806839171569,1023.7208279953098
1.35,1.34640820289403,22.078238130280408,49325.8307915414,52387.082387239287,34.4371353146154,1526.4715583244574,1023.7756596688211
1.65,1.6455564598587991,21.893326238887763,49299.3071627486,52565.376693054459,34.563625113171561,1526.1302144812792,1023.9246916918189
1.9500000000000002,1.944678971851308,21.710010530850909,49072.206793466641,52528.576033027821,34.531196231002511,1525.6156330346717,1023.952280786276
2.25,2.2437783650573166,21.458739380155198,48917.748107418556,52646.443661699661,34.610670496228209,1525.0413216165593,1024.0833792256815
2.55,2.5428322725527854,21.202019420861024,48837.154085313086,52851.752691206231,34.75411083025071,1524.5190043619868,1024.2641811669482
2.85,2.8418491871749429,21.015514324591681,48681.898577005777,52897.266597527872,34.781524821659353,1524.0530746476138,1024.3371666225442
3.15,3.1408432391659469,20.822609787693573,48535.750887054848,52960.482949281875,34.821556313505617,1523.58136456554,1024.4212184070532
3.4499999999999997,3.4398058732203123,20.649401075454513,48495.780637295618,53117.652690707037,34.931385760148451,1523.2383285818344,1024.5528650012461
3.75,3.7387415551422452,20.551108118017247,48437.604180296621,53168.414756015183,34.965209577233068,1523.0132448949021,1024.6063372611275
4.05,4.0376688645819,20.485197780653653,48346.920674663743,53145.773827136436,34.945979966024744,1522.8168929727815,1024.610647398865
4.35,4.3365875081841221,20.393616900709326,48301.83763416508,53203.336649530465,34.984960875439732,1522.6148102607676,1024.6661369102187
4.6499999999999995,4.6354960356515,20.36268886315494,48278.058106126133,53213.399950525367,34.991120520792187,1522.5419384736833,1024.680390940541
4.9499999999999993,4.934398931509353,20.322538146537433,48257.847144909858,53238.244280231993,35.007833162159237,1522.4554684257319,1024.7051388575908
5.2219573974609368,5.2053585668565416,20.321523693028702,48254.430641305982,53235.666753110963,35.005795408541381,1522.4549466408421,1024.7050423889511
