% Device,CC1942004
% File name,CC1942004_20220427_211916
% Cast time (UTC),2022-04-27 21:19:16
% Cast time (local),2022-04-27 18:19:16
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-23.042595
% Start longitude,-44.4944224
% Start altitude,-16.1200008392334
% Start GPS horizontal error(Meter),15.77299976348877
% Start GPS vertical error(Meter),27.131000518798828
% Start GPS number of satellites,8
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),122.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15054563411452757,27.242995031532466,46465.72265625,44470.768404648828,28.720973385073108,1532.9961981488393,1017.9232452051582
0.44999999999999996,0.45132557737805606,27.354442252889648,50740.0001751286,48458.16132472318,31.616703820612162,1536.3162740777943,1020.063637327032
0.74999999999999989,0.75166845008976624,27.17341112640041,51993.883105785761,49827.950658449656,32.620503653174012,1536.9716275294475,1020.8769863010516
1.05,1.0518751848682901,27.130735610546605,52135.333437756271,50004.409900566156,32.750018969159335,1537.0166257297822,1020.9892326170819
1.35,1.3520504088593921,27.036459046214926,52175.673724629625,50133.766479278558,32.844797886268069,1536.9068749669191,1021.0917179946879
1.65,1.6522048948339962,26.906903292070655,52040.312394795495,50128.50805409655,32.840421672717859,1536.6104974480729,1021.1307067125593
1.9500000000000002,1.9523522375357731,26.857409214924111,51978.104274710495,50116.372049446356,32.831232824404609,1536.4921100686095,1021.1407096554051
2.25,2.2524918520797073,26.767649990303973,51913.790571896978,50141.15048840383,32.849027251363289,1536.3094717151344,1021.1836821397005
2.55,2.5526209087392977,26.719755459713529,51890.257714931176,50164.8328126285,32.866163787144082,1536.222281343641,1021.2129427086636
2.85,2.8527397942892434,26.669759211067905,51884.080022344278,50207.394822957169,32.897170756915045,1536.1448378485331,1021.2532889426674
3.15,3.1528488413093605,26.616309289228123,51847.508405050386,50223.959363819253,32.909030207941122,1536.0388882297791,1021.2802898919215
3.4499999999999997,3.4529489885391338,26.570265311967066,51835.630851217349,50257.2854120926,32.9332451296982,1535.9630646762537,1021.3142517750678
3.75,3.7530379171280246,26.526048564471154,51843.034434483961,50307.5976897551,32.969960586614221,1535.9046580920706,1021.3570404675096
4.05,4.0531091544338294,26.477237560042383,51908.579683858683,50418.963938491441,33.051583857387293,1535.8832871510313,1021.4350725568304
4.35,4.3531546691403413,26.379625066026897,51932.742047858985,50538.264906683617,33.138799164785155,1535.7542025810062,1021.53255762841
4.6499999999999995,4.6531719008390775,26.289324932681737,51964.427559918033,50658.131714662246,33.226464534374564,1535.6421510892508,1021.6280545422547
4.9499999999999993,4.9531644095319516,26.232744722698754,52008.0550869548,50756.65511232365,33.298611467863054,1535.5919730295643,1021.7013259985727
5.2499999999999991,5.2531337524834933,26.178087440385443,52075.978645282717,50877.222313107319,33.387025053245125,1535.5635028829513,1021.7862448606312
5.55,5.5530784680355545,26.113380974982146,52124.665128794979,50989.255782461165,33.469096760680273,1535.5045765380355,1021.8694985865935
5.85,5.852997032987993,26.045569804061639,52190.33885090908,51121.320666261177,33.565929770021924,1535.4539272293334,1021.9648262543674
