% Device,CC1942004
% File name,CC1942004_20220427_183411
% Cast time (UTC),2022-04-27 18:34:11
% Cast time (local),2022-04-27 15:34:11
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-23.1402065
% Start longitude,-44.6234829
% Start altitude,-37.5
% Start GPS horizontal error(Meter),55.571998596191406
% Start GPS vertical error(Meter),163.37699890136719
% Start GPS number of satellites,4
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),101.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15004368180734728,26.944133574594627,52456.860042357286,50493.536452029133,33.109641613130961,1536.9563717213441,1021.315052106455
0.44999999999999996,0.45013667362231846,26.849356425900719,52366.892716656657,50499.076870409728,33.113287760080738,1536.7478870858274,1021.3490497704174
0.74999999999999989,0.75021207580529514,26.723123431948622,52279.044685216606,50537.401085221965,33.14091151302474,1536.4917966219118,1021.4109364364799
1.05,1.0502651036710922,26.577201291113312,52213.847333027785,50617.177770388407,33.198914840232462,1536.2214352037636,1021.5017650656573
1.35,1.3502972386886709,26.39029532725019,52011.305848951008,50604.209917209329,33.188301525908876,1535.781315180227,1021.553581617479
1.65,1.6503235964177114,26.247394019020543,51760.903477382235,50501.010313003528,33.111395377285561,1535.3710065998528,1021.5414939962157
1.9500000000000002,1.9503512712615956,26.237026002313026,51748.773090599978,50499.391873626555,33.11005291219314,1535.3503772732147,1021.5450017676905
2.25,2.2503678708888493,26.205175390722736,51829.810523191081,50609.933593335096,33.191159481805911,1535.3674311783914,1021.6173069505513
2.55,2.5503678081132497,26.192512327931126,51884.259537440121,50675.633191312991,33.239379463679249,1535.3942892794737,1021.6588691478282
2.85,2.8503620846286255,26.18816329542749,51870.303402845144,50666.306489139635,33.232393472573662,1535.3816999821293,1021.6562507690624
3.15,3.1503545470618159,26.161595945656757,51854.460800644258,50677.133738872661,33.240109735022777,1535.3327581458398,1021.6716147255581
3.4499999999999997,3.4503433285625631,26.136662860078943,51831.491954777281,50679.384472740763,33.24151667442171,1535.2808675499766,1021.6817121416352
3.75,3.7503306049828509,26.087164831722319,51752.245736067147,50650.927592611137,33.220140277893819,1535.1469469132364,1021.6822558433516
4.05,4.0503160702339764,26.039263740201807,51697.021662433,50644.364626397517,33.21489151060949,1535.0338253216371,1021.6944384320266
4.35,4.3502936714103306,25.978542246961172,51676.071689072487,50684.140239566092,33.243668265476167,1534.926707537122,1021.7362141426269
4.6499999999999995,4.6502538510608664,25.91071883812813,51709.064855316239,50784.064766131538,33.3166870128287,1534.8499085283088,1021.813511060702
4.9499999999999993,4.950175976272507,25.837467901349076,51925.547161029463,51070.154852904772,33.526897752417483,1534.906820716729,1021.995904293549
5.2499999999999991,5.2500451767196363,25.74067500999006,52097.092279979574,51336.617289504386,33.722588432256266,1534.8923514334169,1022.1746170809461
5.55,5.5498627299922019,25.624258251878896,52227.578662072206,51583.549532929508,33.903791123043234,1534.8154369734102,1022.3484254446931
5.85,5.8496399183947965,25.546902009559144,52288.184465506878,51722.442312704377,34.005590354824818,1534.7457406711319,1022.4502908002999
6.1499999999999995,6.1493907078371421,25.487833860846287,52335.155854851109,51829.472422105078,34.084028453763352,1534.6942785708432,1022.5288976426137
6.4499999999999993,6.4491110622225944,25.434631884046428,52483.01589893132,52030.731600851475,34.232213785383905,1534.731523794328,1022.658342543751
6.7499999999999991,6.7487973305502571,25.384544233412157,52588.568760677146,52187.203001236448,34.347364802276495,1534.7406675687653,1022.7619020398158
7.0499999999999989,7.0484580496289411,25.327365478098422,52624.28854817737,52281.982226030224,34.416813365448007,1534.6836739043956,1022.8331231398483
7.35,7.3481031479184988,25.29500249794512,52635.356441953525,52326.626730065305,34.449418622371752,1534.6463271410203,1022.8689287627731
