% Device,CC1942004
% File name,CC1942004_20211103_140915
% Cast time (UTC),2021-11-03 14:09:15
% Cast time (local),2021-11-03 11:09:15
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),121.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14962399670797902,22.086588910105661,48896.84375,51922.261605475767,34.095002475812755,1526.0969700627757,1023.508277870101
0.44999999999999996,0.44884594885365225,21.802067101554425,48774.219148898992,52106.906990951124,34.223333439954537,1525.494391411082,1023.6862760483414
0.74999999999999989,0.74802138777447291,21.596903604560026,48705.205277508132,52262.276578332327,34.331930085639982,1525.0757525521942,1023.8268586643826
1.05,1.0471642382432702,21.460822011396932,48641.241027353695,52346.5136017416,34.389916243575769,1524.7827570096963,1023.9097139140524
1.35,1.346270047213332,21.22711110702684,48580.12543466394,52545.058809958195,34.529034628482258,1524.316903802659,1024.0808521537178
1.65,1.6453255942603946,20.976429190237049,48497.185642461751,52741.357361393319,34.665602311270078,1523.7989969717285,1024.2543067998543
1.9500000000000002,1.9443402753711061,20.759724482925169,48354.400575142958,52835.108953929528,34.727298282990247,1523.286062250344,1024.3611755936349
2.25,2.2433143022859974,20.497532996074725,48251.531640802066,53026.536235453626,34.85907916409775,1522.7237417493286,1024.5332738226914
2.55,2.54224460450527,20.291027710530042,48157.417054516089,53164.411903286993,34.953002889753769,1522.267746487958,1024.6612514631288
2.85,2.8411463013174134,20.1381001644096,48044.893362196752,53219.888727260935,34.987930468120133,1521.8908433375348,1024.7297693198839
3.15,3.1400180925945729,19.91656603437092,47943.177650531434,53369.1484939482,35.08910773479051,1521.3963035236325,1024.8667130837844
3.4499999999999997,3.4388666517428881,19.722044088325017,47698.51317176906,53327.742664854028,35.050398755116071,1520.8169770529619,1024.8894835371311
3.75,3.737697715275238,19.462386323448026,47480.55326271605,53394.067647777534,35.088041698514736,1520.1376916416136,1024.9871142989159
4.05,4.0364840962988335,19.140406291937563,47350.093107582477,53635.7694517089,35.251605128094731,1519.4190132902477,1025.1964422420845
4.35,4.3352139133743108,18.650310864718548,46934.841685191022,53762.322369996313,35.32106845307851,1518.1062448327609,1025.3756968337136
4.6499999999999995,4.6339088835714852,18.313479062234652,46553.930420874138,53740.696232209229,35.287650173783405,1517.1032707922793,1025.436045860672
4.9499999999999993,4.9325791173837654,18.009772944658707,46297.356837297928,53821.903334469353,35.33090599232257,1516.2752062927386,1025.545942949467
5.2499999999999991,5.2312086111330522,17.668048479142779,46080.737736646275,53999.115707356177,35.441812327422753,1515.4055886478664,1025.7162462546776
5.55,5.5297983464669223,17.54761633821489,46068.342686441116,54137.395524392778,35.5363791760567,1515.1636741374114,1025.81945796458
5.85,5.8283735789751177,17.536208487361613,46045.952198698244,54125.595388196678,35.526896581369137,1515.1241763100411,1025.8162817112809
6.1499999999999995,6.1269489596982512,17.51970639437447,46025.164839278586,54122.157397314375,35.523264158732914,1515.0763051921713,1025.8188301578175
6.4499999999999993,6.4255236454986813,17.533039918029566,46045.655371780056,54129.278627297826,35.529186659678331,1515.1274089183648,1025.8214474590386
6.7499999999999991,6.7240996199549956,17.550392932343552,46051.053939393649,54113.547215199935,35.518525647515183,1515.1714287983939,1025.8103659693986
6.9699982934016518,6.9430578277246884,17.591986136465398,46065.109707149531,54077.2031146378,35.494156833644624,1515.2699176582732,1025.7825105797635
