% Device,CC1942004
% File name,CC1942004_20211105_190251
% Cast time (UTC),2021-11-05 19:02:51
% Cast time (local),2021-11-05 16:02:51
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),95.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14980942920166868,24.818780805570746,50817.9324880208,51002.786164468249,33.46857794003683,1532.3204644425132,1022.2413939922567
0.44999999999999996,0.44942605296494786,24.804229730259561,50820.299247119314,51020.063478908123,33.481038453951143,1532.3035100530735,1022.2564749660011
0.74999999999999989,0.74903544770163488,24.764675322173943,50818.953526018639,51059.26362125278,33.509344525509171,1532.2427083133728,1022.2910312864304
1.05,1.0486273063057636,24.663428072670047,50813.493110062111,51157.859094733889,33.580634736942514,1532.0775471983861,1022.3765412572076
1.35,1.3481806033775352,24.427850978616561,50765.717045320846,51353.352452328014,33.7214962849955,1531.6572212324008,1022.5546421467175
1.65,1.6476730362963126,24.109766299457771,50695.872195655415,51614.857914947112,33.9095720630072,1531.0803072464626,1022.7925215126082
1.9500000000000002,1.9470860972560018,23.657827554488943,50536.741050116521,51930.741249723389,34.135019557060922,1530.2025281459364,1023.0972528200936
2.25,2.2464365889673426,23.384288047262505,50332.657134075904,52013.431596751208,34.190867587253138,1529.5792084767238,1023.22049718196
2.55,2.5456989639114789,22.780698448884444,50241.295707807643,52574.88623942525,34.592751743766954,1528.4848254105548,1023.7002772750682
2.85,2.8448831209540861,22.653503654238687,50142.158793295734,52611.198493519041,34.616534578180847,1528.1886293348948,1023.7559162571016
3.15,3.1440244252215361,22.270435744073069,49967.353095940554,52852.647018602569,34.785436063485804,1527.3866901759698,1023.993996143178
3.4499999999999997,3.4431195757246447,22.0398140819642,49751.851006516234,52882.70370268308,34.801434786459339,1526.8069762267953,1024.0722718127456
3.75,3.7421907267677104,21.798397882349612,49534.774425440854,52923.579296422118,34.824809572848132,1526.2031495577114,1024.1587369253321
4.05,4.0412293655383742,21.603908505740193,49471.153390302956,53076.184998742763,34.931808545033995,1525.8120654042332,1024.2953559666257
4.482014929994623,4.4718257866132571,21.563775872037972,49451.949740662138,53101.309778400668,34.949026824224632,1525.7318795055192,1024.3214302034317
