-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.5731	-23.21155
-44.59743333	-23.22795
-44.61808333	-23.24703333
-44.64506667	-23.29785
-44.64608333	-23.28726667
-44.63461667	-23.27161667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.6263	-23.26396667
-44.57156667	-23.2121
-44.5977	-23.22916667
-44.61823333	-23.24743333
-44.64516667	-23.29776667
-44.64496667	-23.28546667
-44.63463333	-23.27086667
-44.37288333	-23.14991667
-44.46513333	-23.18896667
-44.58025	-23.17186667
-44.59771667	-23.09625
-44.50283333	-23.03608333
-44.4053	-23.02366667
-44.3454	-22.98836667
-43.98218333	-22.97016667
-43.90283333	-22.92916667
-43.8166	-22.96096667
-43.77445	-22.99035
-43.73223333	-23
-44.35648333	-23.09571667
-44.18118333	-23.05903333
-44.30048333	-23.06425
-44.27236667	-23
-44.30895	-23
-43.85158	-31.45346667
-43.79717333	-31.17546667
-43.79886833	-31.39963333
-43.74561833	-31.66091667
-43.68814167	-31.97983333
-43.619585	-23.27735
