% Device,CC1942004
% File name,CC1942004_20211109_160410
% Cast time (UTC),2021-11-09 16:04:10
% Cast time (local),2021-11-09 13:04:10
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),87.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15025178598390646,24.683447080052591,45177.492339313379,45465.336036890738,29.427022652082677,1527.6371121914419,1019.2318182729754
0.44999999999999996,0.45075477322524665,24.671925933459313,45165.6527051929,45463.963653932973,29.42584186743732,1527.6123677182213,1019.2356195048136
0.74999999999999989,0.75125641426500156,24.669704717262825,45170.485990793779,45470.86221663672,29.430723061956595,1527.6171584329441,1019.2412564354092
1.05,1.0517527647176637,24.655176593430973,45203.271994834147,45517.179774579854,29.463971482464149,1527.6220008958883,1019.2718977326483
1.35,1.3522380820911697,24.627514584893024,45242.619026747729,45582.193068882712,29.510610648387225,1527.6087111328247,1019.3164940599114
1.65,1.6526852049342915,24.508670053922486,45460.631302544731,45911.788029279691,29.747698616000712,1527.5741855066624,1019.5314637522117
1.9500000000000002,1.9530025902145158,24.181034909562605,46188.778299267819,46957.916180701417,30.502158640108277,1527.5763872633404,1020.1978605394843
2.25,2.2531016595704658,23.92628112799855,47276.038768752856,48313.542005238036,31.485136217205095,1528.0061085641917,1021.0158198263865
2.55,2.5530362992733506,23.7043521426747,47481.91462007098,48745.042825923738,31.796662436832584,1527.7899178669211,1021.3169937864242
2.85,2.8529011690810475,23.435266951198049,47392.836530854947,48923.8931816011,31.922880742177128,1527.2501168623473,1021.4913699910686
3.15,3.1527092454199988,23.169111552629456,47374.616518655137,49175.306531130169,32.101858476205592,1526.7706899115017,1021.704364067907
3.4499999999999997,3.4524785131849653,23.103655163889094,47367.418945968449,49234.739838986992,32.144010575786361,1526.653883641822,1021.7562527602755
3.75,3.7522389314679048,23.081315836474385,47348.095636696147,49237.520659509471,32.145537040306962,1526.6032483376052,1021.7650784912335
4.0261887812243842,4.02820636254294,23.0871189247064,47349.970018064487,49233.527685661393,32.142640869149446,1526.6196106629225,1021.7624333734378
