% Device,CC1942004
% File name,CC1942004_20220426_191302
% Cast time (UTC),2022-04-26 19:13:02
% Cast time (local),2022-04-26 16:13:02
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9803759
% Start longitude,-43.8427624
% Start altitude,-16.363000869750977
% Start GPS horizontal error(Meter),19.565999984741211
% Start GPS vertical error(Meter),32.887001037597656
% Start GPS number of satellites,5
% End latitude,-22.9798609
% End longitude,-43.8433132
% End altitude,-26.233999252319336
% End GPS horizontal error(Meter),99.726997375488281
% End GPS vertical error(Meter),463.42401123046875
% End GPS number of satellites,3
% Cast duration (Seconds),110.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15036842497073197,25.837980306585841,46663.855737408347,45894.67899392853,29.746001723748577,1530.7874273671569,1019.1269923870436
0.44999999999999996,0.45110517053080917,25.848071916328472,46736.345415213858,45956.851119271007,29.791003984034273,1530.864623651695,1019.1590918334223
0.74999999999999989,0.75183589566201836,25.850475323743233,46734.774288635432,45953.134155674175,29.7882436210672,1530.8724692252374,1019.1575842237206
1.05,1.0525668012130087,25.848102690938461,46730.210883386877,45950.791091871535,29.786452900665008,1530.8699342128984,1019.1582574003769
1.35,1.3532975804324141,25.847721000268741,46728.401271171584,45949.356580725231,29.78533093865336,1530.8728713742378,1019.1588289077063
1.65,1.6540244719001052,25.81412904221142,46725.243966621645,45976.625839446024,29.804820250940189,1530.8183873983712,1019.1849971500961
1.9500000000000002,1.9547445288131804,25.79221369224463,46728.844043102552,46000.007330097425,29.821555503478891,1530.7888512168356,1019.2055431458003
2.25,2.2554502547098036,25.699822663750332,46733.371920415775,46088.299194219362,29.884911035388555,1530.6401104540023,1019.2825335629649
2.55,2.5561266585324427,25.574468378366262,46772.873152741355,46241.586567767976,29.995151110796094,1530.4616604548273,1019.4047296825302
2.85,2.8567654306099457,25.452844398899003,46837.941582664629,46417.543094643384,30.121844427944797,1530.3089528720529,1019.5381107507044
3.15,3.1573565321796648,25.353986351149629,47040.809029011325,46710.114171464542,30.333359744717434,1530.3014530133062,1019.7284809563106
3.4499999999999997,3.4578897909225672,25.293312362791827,47321.154556977126,47045.175922819537,30.576212867701518,1530.4197812739033,1019.9309930656489
3.75,3.7583692062678975,25.270534155230262,47584.85247178415,47328.771487534825,30.782180049610467,1530.5904263712666,1020.094351839597
4.05,4.058786337408848,25.242259720443581,48016.624936627486,47785.096852530216,31.114129986319977,1530.882939578594,1020.3543508783968
4.35,4.3591260265878731,25.242400460358617,48501.657873133117,48267.65583324492,31.465990717404821,1531.2657668891181,1020.620866891036
4.6499999999999995,4.6593949889929887,25.223024917927248,48861.683579927929,48644.703957772377,31.74113610406841,1531.519167438212,1020.8354677696021
4.9499999999999993,4.9596162877600642,25.204070942633216,49030.925334603395,48831.623027771653,31.877538126975931,1531.6247589000086,1020.9453438210151
5.2499999999999991,5.2597973521604784,25.175769663246125,49284.447974250645,49111.80068090876,32.082194647323846,1531.7810496650463,1021.1095311149876
5.55,5.5599307711364867,25.117461623739363,49484.790511842846,49368.811696164557,32.26976959859261,1531.8464028629351,1021.2699029953386
5.85,5.8600314994287421,25.099302773244236,49568.209692528158,49469.959608899277,32.343621994662847,1531.8868040427626,1021.3323905962561
6.1499999999999995,6.1601164475769643,25.073889360395629,49609.37610697261,49536.172185388088,32.3918114617546,1531.8820389199673,1021.3777026555828
6.4499999999999993,6.460191502978148,25.062241594681243,49630.002004788555,49568.297806765993,32.415155893088134,1531.8839279544914,1021.4001222270803
6.7499999999999991,6.7602611340311318,25.050119112412482,49636.277395592289,49586.572695370909,32.428341588139624,1531.873739474127,1021.4150189783635
7.0499999999999989,7.0603271589188656,25.0427336928352,49640.976660195236,49598.58604537278,32.436984897516147,1531.8701533999586,1021.425061785132
7.35,7.3603915530804356,25.041688395868828,49639.779387195282,49598.425811001682,32.436767646660627,1531.8724224121186,1021.4265101961852
7.6499999999999995,7.6604552193746489,25.042091312269392,49645.214854360216,49603.457362090834,32.440371955332971,1531.8823136906988,1021.4304064361202
7.9499999999999993,7.9605180146690726,25.040020255030846,49644.218597738429,49604.514891006038,32.441036998984821,1531.883042345863,1021.4328293235602
8.25159264987987,8.2621737354105029,25.048276424888261,49651.582288068937,49603.688513215158,32.440426549175022,1531.9074819064726,1021.4311882001897
