% Device,CC1942004
% File name,CC1942004_20211028_021535
% Cast time (UTC),2021-10-28 02:15:35
% Cast time (local),2021-10-27 23:15:35
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),138.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-10-28
% Temperature calibration date,2019-10-25
% Pressure calibration date,2019-10-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14958368226037927,21.683789921788478,48765.72265625,52229.824033084595,34.310710259266024,1525.2728049489811,1023.7841238198258
0.44999999999999996,0.44870595961958493,21.5255936062691,49043.683252413452,52706.133819005212,34.657354749135273,1525.240765836566,1024.0926337523301
0.74999999999999989,0.74775444265363578,21.419351296829976,49211.16430070372,53007.165035570411,34.876336692348573,1525.2051590574263,1024.2897440116228
1.05,1.046764154396219,21.383351513167494,49269.690770605688,53111.395752222445,34.952135089544427,1525.1980860125427,1024.3586112492467
1.35,1.3457593218077584,21.368643194243024,49297.37068768742,53158.090566911407,34.986082780341306,1525.2014442249053,1024.38978650554
1.65,1.6447467371977071,21.355395173152743,49312.602327102089,53189.711944966926,35.008936259211708,1525.1964111057775,1024.4121200777772
1.9500000000000002,1.9437285555567709,21.335343195684629,49308.005229271694,53207.769521672519,35.021548348936228,1525.1618725011233,1024.4285306028899
2.25,2.242705210595684,21.317364900748391,49311.326046679453,53232.007209765383,35.038792303184877,1525.1379754374864,1024.4478935914115
2.55,2.5416769846392886,21.299560297174192,49306.847142479761,53247.640826395829,35.0496793248968,1525.1074840556148,1024.4623703999794
2.85,2.8406432729344933,21.266247653109641,49294.325080264396,53272.447605712885,35.066849229701326,1525.0424721603456,1024.4858793665885
3.15,3.1396014712300326,21.225567536001172,49285.409025591682,53309.685151196318,35.092964045483,1524.9675811950071,1024.5182065047598
3.4499999999999997,3.4385503088838183,21.190082504637243,49283.952023031539,53349.062559136684,35.120820362550283,1524.908436913119,1024.5504274910136
3.75,3.7374862092825616,21.156760365630912,49326.041269435686,53433.170871069924,35.181819428840541,1524.8917646006794,1024.6072765180052
4.05,4.0364073081351162,21.129314782513688,49357.29262588657,53498.8356737921,35.229374610551289,1524.8759036729612,1024.6522841430742
4.35,4.3353191981812378,21.064748020686498,49290.332613359067,53501.142121980178,35.228820325044552,1524.7069345270513,1024.6707988802987
4.6499999999999995,4.6342235482774914,20.995868446497386,49241.699354594719,53528.393981595218,35.246542264297162,1524.5463373016362,1024.7043694193815
4.9499999999999993,4.9331190226724688,20.92732161635254,49183.963480158767,53545.4297672855,35.256687779463185,1524.3778937252318,1024.732045019442
5.2499999999999991,5.23200968777811,20.83634740966686,49057.545606047832,53513.80332249339,35.2300337023739,1524.1075887408015,1024.737735617822
5.55,5.5308952530733215,20.76542792709305,48999.770212845106,53533.608700113706,35.242071115712932,1523.9340195428254,1024.7674052096181
5.85,5.8297753362023084,20.72713478984701,48955.163551050289,53529.664362351439,35.237685268051486,1523.8303450944377,1024.77571817124
6.1499999999999995,6.1286554353305425,20.699890688201954,48900.240682599389,53501.485393294,35.215772728524172,1523.7370506707646,1024.7676857332715
6.4499999999999993,6.4275352871595812,20.66046165423834,48856.983996442061,53500.317590313949,35.213384036980059,1523.6323156435165,1024.7778042599368
6.8865869893511071,6.8624913113466333,20.67988672985512,48873.168519229563,53495.28207924321,35.210207539089843,1523.6888351718856,1024.7720511556572
